"Points:0","Points:1","Points:2","velocity_:0","velocity_:1","w_he"
0.0030919,-0.018706,0,0.15497,-0.18393,0.0050297
0.0031014,-0.018663,0,0.14888,-0.18695,0.0048323
0.0031423,-0.018679,0,0.15195,-0.18471,0.0044053
0.0062766,-0.01068,0,-0.016219,-0.31453,5.1556e-08
0.0061017,-0.010836,0,-0.016813,-0.32749,1.0871e-07
0.006048,-0.010596,0,-0.019217,-0.3345,1.2761e-07
0.0061892,-0.010758,0,-0.016531,-0.32118,8.0133e-08
0.0060748,-0.010716,0,-0.018015,-0.331,1.1816e-07
0.0061623,-0.010638,0,-0.017692,-0.32483,8.9581e-08
0.0018272,-0.0032033,0,-0.10413,-0.0044039,0.040477
0.0019541,-0.0031985,0,-0.10642,-0.015228,0.028841
0.0018807,-0.0033044,0,-0.1041,-0.015991,0.035704
0.0018906,-0.0032009,0,-0.10525,-0.0096925,0.034659
0.0019174,-0.0032514,0,-0.10527,-0.015557,0.032272
0.0018539,-0.0032538,0,-0.10411,-0.010184,0.03809
0.00098293,0,0,0,0,0.2221
0.0010639,-0.00010846,0,-0.13195,0.017499,0.17518
0.00093751,-9.7348e-05,0,-0.17954,0.023339,0.24668
0.0010234,-5.4228e-05,0,-0.087775,0.0060371,0.19864
0.0010007,-0.0001029,0,-0.154,0.01982,0.21093
0.00096022,-4.8674e-05,0,-0.098746,0.0067975,0.23439
0.00011037,-0.0042376,0,0.032092,-10.449,0.84292
0.00017559,-0.0041228,0,0.051026,-10.038,0.83311
0.00023622,-0.0042207,0,0.062781,-9.3668,0.81235
0.00014298,-0.0041802,0,0.041733,-10.271,0.83801
0.00020591,-0.0041717,0,0.057442,-9.7204,0.82273
0.00017329,-0.0042291,0,0.049003,-10.002,0.82763
0.0028458,-0.018431,0,0.11105,-0.21769,0.0080495
0.0027267,-0.018419,0,0.1051,-0.22793,0.010554
0.0028176,-0.018336,0,0.099853,-0.22718,0.0084306
0.0027863,-0.018425,0,0.10812,-0.22254,0.009302
