time,integrated_power,mean_periodic_power_dep,periodic_power,voltage
2.6416259313515e-05,11765.133796467,0.060136144960242,0.00014782729832901,0.24
2.6419959313515e-05,9490.626573715,0.076132805099633,0.00018715045501385,0.24
2.6423659313515e-05,6403.5421759498,0.088094438617256,0.00021655466720073,0.24
2.6427359313515e-05,3606.6890339285,0.095627938421186,0.000235073594939,0.24
2.6431059313515e-05,2151.9567018857,0.099961780029045,0.00024572708955026,0.24
2.6434759313515e-05,2668.9058583666,0.10358986477464,0.00025464568528673,0.24
2.6438459313515e-05,5028.6759020937,0.10938291085593,0.00026888621154358,0.24
2.6442159313515e-05,8293.777522699,0.11940912285436,0.00029353275037944,0.24
2.6445859313515e-05,11118.376228402,0.13401832152436,0.00032944523481898,0.24
2.6449559313515e-05,12395.424504557,0.15171433767997,0.00037294576617495,0.24
2.6453259313515e-05,11710.881493496,0.16985626144799,0.00041754243227135,0.24
2.6456959313515e-05,9392.2953935255,0.18573809030962,0.00045658330951234,0.24
2.6460659313515e-05,6296.2898468793,0.19754500578984,0.00048560719220709,0.24
2.6464359313515e-05,3529.3746600503,0.20493960438447,0.00050378467154491,0.24
2.6468059313515e-05,2135.3887736805,0.20920279204943,0.00051426448389731,0.24
2.6471759313515e-05,2722.6174501795,0.21285883037338,0.00052325179541145,0.24
2.6475459313515e-05,5132.8862415295,0,0,0.24
2.6479159313515e-05,8405.6165695591,0.010188806445569,2.5046230200514e-05,0.24
2.6482859313515e-05,11192.322076327,0.02493782311169,6.1302416695403e-05,0.24
2.6486559313515e-05,12404.415132999,0.042696255600685,0.00010495638053266,0.24
2.6490259313515e-05,11654.656115266,0.060802631440704,0.00014946566234195,0.24
2.6493959313515e-05,9293.0253779436,0.076567437578864,0.00018821887310438,0.24
2.6497659313515e-05,6189.4270561014,0.088219221631677,0.00021686141010737,0.24
2.6501359313515e-05,3453.7087780804,0.095476452797766,0.0002347012114006,0.24
2.6505059313515e-05,2121.2228780698,0.099672034863551,0.00024501483496448,0.24
2.6508759313515e-05,2778.5568495739,0.10335951109098,0.00025407942746062,0.24
