"Points:0","Points:1","Points:2","velocity_:0","velocity_:1","w_he"
0.0097843,0.026779,0,0.00044054,-0.00087126,0.00031776
0.0096135,0.026985,0,0.00043913,-0.00080189,0.00031681
0.0097541,0.026922,0,0.00043589,-0.00083046,0.00031503
0.0096437,0.026842,0,0.0004441,-0.0008417,0.00031954
0.016248,-0.019045,0,0.0061738,0.0017497,0.0022955
0.016334,-0.019548,0,0.014255,0.0010304,0.0023065
0.015867,-0.019304,0,0.010982,9.5501e-05,0.0026234
0.016291,-0.019297,0,0.0099622,0.0014537,0.002301
0.0161,-0.019426,0,0.012649,0.00059517,0.0024649
0.016057,-0.019174,0,0.008463,0.00089524,0.0024595
0.011263,0.0043308,0,0.0055823,-0.0045373,0.0061184
0.01091,0.0041246,0,0.0057903,-0.003044,0.0066519
0.010837,0.0044562,0,0.0061047,-0.0024433,0.0065945
0.011086,0.0042277,0,0.005687,-0.0038017,0.0063851
0.010874,0.0042904,0,0.0059593,-0.0027382,0.0066232
0.01105,0.0043935,0,0.0058496,-0.0034993,0.0063564
0.010389,0.016112,0,0.0016071,-0.0029977,0.0013345
0.0099267,0.016471,0,0.0014587,-0.0026111,0.0013184
0.010422,0.016664,0,0.0014747,-0.0030177,0.0012145
0.010158,0.016291,0,0.0015339,-0.0027998,0.0013265
0.010174,0.016567,0,0.0014709,-0.0028168,0.0012665
0.010405,0.016388,0,0.0015397,-0.0030105,0.0012745
0.017579,0.029105,0,-0.00021998,-0.00026045,6.736e-05
0.017757,0.029201,0,-0.00020806,-0.00022883,6.2103e-05
0.017817,0.028995,0,-0.00024085,-0.00028804,6.0654e-05
0.017668,0.029153,0,-0.00021435,-0.00024452,6.4732e-05
0.017787,0.029098,0,-0.00022547,-0.00025866,6.1379e-05
0.017698,0.02905,0,-0.00023113,-0.00027472,6.4007e-05
0.015511,0.018384,0,0.0003759,-0.0046819,0.00040984
0.015077,0.018813,0,0.0004211,-0.0045204,0.00042473
0.015529,0.018867,0,0.00030732,-0.0044448,0.00037962
0.015294,0.018598,0,0.00039961,-0.0046064,0.00041728
0.015303,0.01884,0,0.00036396,-0.0044896,0.00040217
0.01552,0.018626,0,0.00034091,-0.0045627,0.00039473
0.0094629,0.029271,0,0.00019343,-0.0001934,0.00028667
0.0092752,0.029396,0,0.0001693,-0.00015962,0.00028974
0.0094579,0.029505,0,0.00014006,-0.00013132,0.00028567
0.009369,0.029333,0,0.0001818,-0.00017643,0.0002882
0.0093665,0.02945,0,0.0001548,-0.00014553,0.0002877
0.0094604,0.029388,0,0.00016768,-0.00016235,0.00028617
0.0080803,-0.0083188,0,-0.017368,0.00065356,0.011183
0.0081006,-0.0084581,0,-0.017411,0.00043054,0.01111
0.0079643,-0.008373,0,-0.017562,0.0011009,0.011558
0.0090318,0.0054491,0,0.0067563,0.0059503,0.0081985
0.0093806,0.0051952,0,0.0070088,0.0046592,0.0079957
0.0089995,0.005055,0,0.0070906,0.0063869,0.0086208
0.0092062,0.0053221,0,0.006911,0.0053409,0.0080971
0.0091901,0.0051251,0,0.0070559,0.0055279,0.0083083
0.0090157,0.0052521,0,0.0069274,0.0061768,0.0084097
0.001696,0.00017146,0,-0.025375,-0.01567,0.082322
0.0017384,-1.6162e-06,0,-0.053586,-0.020214,0.084746
0.0015206,5.7192e-05,0,-0.03871,-0.023403,0.098835
0.0017172,8.492e-05,0,-0.03984,-0.019661,0.083534
0.0016295,2.7788e-05,0,-0.050118,-0.023809,0.09179
0.0016083,0.00011432,0,-0.030917,-0.01915,0.090578
0.017712,0.028946,0,-0.00024585,-0.0003051,6.3742e-05
0.017594,0.029001,0,-0.0002359,-0.00029155,6.7095e-05
0.00018415,-0.0038542,0,0.068273,-10.303,0.88373
0.00038331,-0.0037591,0,0.096151,-7.5654,0.816
0.00036875,-0.0039505,0,0.091421,-7.7636,0.8146
0.00028373,-0.0038067,0,0.089444,-9.1152,0.84987
0.00037603,-0.0038548,0,0.093793,-7.6667,0.8153
0.00027645,-0.0039024,0,0.085348,-9.1708,0.84916
0.0056805,-0.019815,0,0.037258,-0.010404,0.042476
0.0055026,-0.019677,0,0.025612,-0.011229,0.044729
0.0056666,-0.019554,0,0.016341,-0.011339,0.041619
0.0055916,-0.019746,0,0.031334,-0.010799,0.043603
0.0055846,-0.019616,0,0.020746,-0.011286,0.043174
0.0056736,-0.019685,0,0.026096,-0.010857,0.042047
0.0094297,-0.013257,0,-0.019472,-0.0076718,0.0076743
0.009478,-0.01292,0,-0.019022,-0.0074402,0.0075456
0.0097144,-0.0131,0,-0.018879,-0.0078422,0.0071191
0.0094539,-0.013089,0,-0.019246,-0.0075531,0.0076099
0.0095962,-0.01301,0,-0.018951,-0.00765,0.0073323
0.009572,-0.013179,0,-0.019176,-0.007758,0.0073967
0.00024768,-0.0036823,0,0.085413,-9.6636,0.8756
0.00031549,-0.0037207,0,0.094542,-8.6845,0.8458
0.00021591,-0.0037683,0,0.077579,-10.009,0.87966
0.0069295,-0.013832,0,-0.023606,-0.0037265,0.016168
0.0067202,-0.013935,0,-0.024019,-0.0033243,0.017391
0.006759,-0.013703,0,-0.023657,-0.0028719,0.017095
0.0068249,-0.013884,0,-0.023812,-0.0035287,0.01678
0.0067396,-0.013819,0,-0.023837,-0.0030955,0.017243
0.0068443,-0.013768,0,-0.023632,-0.0033079,0.016632
0.0051926,0.029811,0,2.8885e-05,-3.1799e-05,0.00033361
0.0051445,0.029914,0,1.3912e-05,-1.2932e-05,0.00033352
0.0053536,0.03,0,0,0,0.0003332
0.0051686,0.029863,0,2.2807e-05,-2.4295e-05,0.00033357
0.005249,0.029957,0,1.3722e-05,-9.1236e-06,0.00033336
0.0052731,0.029906,0,2.6926e-05,-2.2817e-05,0.00033341
0.011913,0.0035232,0,0.0040068,-0.0081517,0.0055951
0.011577,0.0037784,0,0.0046946,-0.0064564,0.0059298
0.011957,0.0039504,0,0.0044763,-0.0079129,0.0054281
0.011745,0.0036508,0,0.0043539,-0.0073141,0.0057624
0.011767,0.0038644,0,0.0045861,-0.0071993,0.0056789
0.011935,0.0037368,0,0.0042549,-0.0080311,0.0055116
0.0088827,-0.0005095,0,-0.0042944,0.0022947,0.010895
0.0091482,-0.00031636,0,-0.0036496,0.0011535,0.010341
0.0091557,-0.00063263,0,-0.0047508,0.00084405,0.010246
0.0090154,-0.00041293,0,-0.0039662,0.0017236,0.010618
0.0091519,-0.0004745,0,-0.0042065,0.00099507,0.010294
0.0090192,-0.00057106,0,-0.0045298,0.0015668,0.010571
0.0064195,0.023777,0,0.00029296,-0.00057329,0.000523
0.0067227,0.023611,0,0.00034361,-0.00069447,0.00053003
0.0063034,0.023427,0,0.00027411,-0.00054349,0.00054979
0.0065711,0.023694,0,0.00031886,-0.00063397,0.00052652
0.006513,0.023519,0,0.00031031,-0.00062093,0.00053991
0.0063614,0.023602,0,0.00028366,-0.00055901,0.0005364
0.016221,0.029827,0,-3.6418e-05,-4.7289e-05,0.00010609
0.016411,0.029833,0,-3.819e-05,-4.5606e-05,0.00010053
0.016324,0.029639,0,-7.582e-05,-0.00010208,0.00010322
0.016316,0.02983,0,-3.7338e-05,-4.6448e-05,0.00010331
0.016368,0.029736,0,-5.7868e-05,-7.3406e-05,0.00010188
0.016272,0.029733,0,-5.6203e-05,-7.4286e-05,0.00010466
0.02,0.0058927,0,0,0,0
0.019224,0.005833,0,-6.3797e-05,-0.0054688,0.00029899
0.019299,0.0064008,0,-6.0794e-05,-0.004814,0.00025931
0.019612,0.0058628,0,-6.5243e-05,-0.0029243,0.0001495
0.019262,0.0061169,0,-6.1366e-05,-0.0051398,0.00027915
0.01965,0.0061468,0,-6.0749e-05,-0.0026081,0.00012965
0.0054128,0.0061102,0,0.00020388,0.0021987,0.010122
0.0057915,0.0063384,0,0.00061314,0.0039944,0.009645
0.0058352,0.0059576,0,0.00076616,0.0047233,0.010306
0.0056022,0.0062243,0,0.00039012,0.0031725,0.0098835
0.0058134,0.006148,0,0.00068348,0.0043424,0.0099757
0.005624,0.0060339,0,0.00044135,0.0034871,0.010214
0.0016023,-8.5485e-05,0,-0.076114,-0.02556,0.096936
0.0016704,-4.3551e-05,0,-0.063544,-0.023058,0.090841
0.0015615,-1.4147e-05,0,-0.060464,-0.027483,0.097885
0.00018727,-0.0032852,0,0.075132,-10.659,0.90484
0.00018147,-0.0030754,0,0.07849,-10.88,0.9099
