"velocity:0","velocity:1","w_he"
0.10446,-7.4983,0.81768
0.097897,-9.2591,0.86058
-0.024576,0.024749,0.034266
-0.024543,0.024938,0.033987
-0.023799,0.022803,0.031605
-0.02456,0.024845,0.034126
-0.02416,0.023861,0.032796
-0.024179,0.023764,0.032936
-0.00018045,-0.00018784,6.4433e-05
-0.0002173,-0.00024622,6.1722e-05
-0.00019173,-0.00020824,6.6391e-05
-0.00020008,-0.00021732,6.3077e-05
-0.00021015,-0.00023787,6.5035e-05
-0.022682,-0.009407,0.0097579
-0.023251,-0.0094664,0.010563
-0.022907,-0.0091245,0.01021
-0.022966,-0.0094364,0.010161
-0.023086,-0.0092962,0.010387
-0.022799,-0.0092732,0.0099841
-0.0023206,-0.010922,0.0059822
-0.0027777,-0.0097361,0.0063813
-0.0017527,-0.0092969,0.0064817
-0.0025449,-0.010337,0.0061818
-0.0022693,-0.0095224,0.0064315
-0.0020486,-0.010127,0.006232
0.00012766,-0.00010727,0.000318
0.00015374,-0.00013238,0.0003184
0.00013815,-0.00011845,0.00031616
-0.10325,-0.023899,0.14127
-0.14546,-0.016222,0.13294
-0.16602,-0.0065922,0.16013
-0.13251,-0.021919,0.1371
-0.15711,-0.013059,0.14653
-0.13638,-0.016119,0.1507
-0.017178,-0.00036676,0.01053
-0.017354,-1.0192e-05,0.010833
-0.017313,0.00021044,0.010908
-0.14793,0.0047341,0.1942
-0.21243,0.016468,0.18674
-0.16142,-0.00060709,0.17717
-0.18964,0.0047359,0.17343
-0.19064,0.010005,0.19047
-0.017584,-0.0083606,0.0059057
-0.017032,-0.0084613,0.005551
-0.017553,-0.0085374,0.0056702
-0.017309,-0.0084116,0.0057283
-0.017291,-0.0084952,0.0056106
-0.017568,-0.0084552,0.0057879
0.00034228,-0.00061714,0.00061746
0.00034803,-0.00062539,0.00060046
0.00031165,-0.00055367,0.00061132
-0.034558,-0.0083766,0.069789
-0.032249,-0.013797,0.076185
-0.021391,-0.008412,0.067506
-0.034134,-0.011335,0.072987
-0.026223,-0.010919,0.071845
-0.027943,-0.0088195,0.068647
-5.2218e-05,-7.5391e-05,5.9727e-06
-9.244e-05,-0.00013073,1.1012e-05
-0.00010384,-0.00013598,1.263e-05
-7.2756e-05,-0.00010347,8.4923e-06
-9.8391e-05,-0.00013411,1.1821e-05
-7.9098e-05,-0.00010849,9.3014e-06
0.0001483,-0.00012528,0.00036393
0.00016565,-0.00013888,0.00036273
0.00017986,-0.00016238,0.00036525
0.00015705,-0.0001321,0.00036333
0.00017455,-0.00015163,0.00036399
0.00016541,-0.0001446,0.00036459
0,0,0
-5.8672e-05,-0.0026812,0.00013872
0,0,0
0.0003125,-0.00049265,0.00098283
0.00022059,-0.00032143,0.0010643
0.00020068,-0.00031052,0.00098906
